Logger, nicolas:         	Automatically truncated logfile to 1048576
Session, nicolas:        	Garbage collected 0 outgoing messages, 3 left
Session, nicolas:        	Can't garbage collect updates.getDifference sent 256299 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Can't garbage collect updates.getDifference sent 256299 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Can't garbage collect updates.getChannelDifference sent 256298 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Garbage collected 0 outgoing messages, 3 left
Session, nicolas:        	Can't garbage collect updates.getDifference sent 256300 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Can't garbage collect updates.getDifference sent 256300 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Can't garbage collect updates.getChannelDifference sent 256299 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Garbage collected 0 outgoing messages, 3 left
Session, nicolas:        	Can't garbage collect updates.getDifference sent 256301 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Can't garbage collect updates.getDifference sent 256301 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Can't garbage collect updates.getChannelDifference sent 256300 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Garbage collected 0 outgoing messages, 3 left
Session, nicolas:        	Can't garbage collect updates.getDifference sent 256302 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Can't garbage collect updates.getDifference sent 256302 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Can't garbage collect updates.getChannelDifference sent 256301 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Garbage collected 0 outgoing messages, 3 left
Session, nicolas:        	Can't garbage collect updates.getDifference sent 256303 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Can't garbage collect updates.getDifference sent 256303 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Can't garbage collect updates.getChannelDifference sent 256302 seconds ago, no response has been received or it wasn't yet handled!
Session, nicolas:        	Garbage collected 0 outgoing messages, 3 left
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
APIWrapper, 5057468842:     	Saved session!
